rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/learning_rate
100.0,1091,737280,90,675,-10059.61490894,-1.2585739195346832,393670.97978515626,0.2,890,0.002108696,-0.0005812514529679902,0.00777587890625,70928.8203125,1.1920928955078125e-07,0.8563946485519409,0.0003
100.0,1091,745472,91,682,-10128.85314829,-1.262076199799776,403098.774609375,0.2,900,0.0018333332,-0.00046453993672912475,0.00810546875,78386.359375,0.0,0.8526780605316162,0.0003
100.0,1091,753664,92,690,-10062.055338950002,-1.2565351516008376,406237.246484375,0.2,910,0.0024796207,-0.0009465260074648541,0.01180419921875,77516.78125,0.0,0.8481310606002808,0.0003
100.0,1092,761856,93,697,-10049.203068309998,-1.2566769268363713,392049.06201171875,0.2,920,0.0011593017,-0.0003997053507191595,0.00440673828125,73848.34375,-1.1920928955078125e-07,0.8513443470001221,0.0003
100.0,1092,770048,94,705,-10092.690250509999,-1.2487553477287292,390683.215234375,0.2,930,0.0018271366,-0.0010210349668341224,0.0111572265625,74619.8125,0.0,0.8368496298789978,0.0003
100.0,1092,778240,95,712,-10027.25612672,-1.2355812415480614,393498.5765625,0.2,940,0.003934752,-0.001406369497635751,0.02308349609375,76508.7421875,-1.1920928955078125e-07,0.8290551900863647,0.0003
100.0,1092,786432,96,719,-10043.314442919998,-1.2302980344742536,379433.1131835937,0.2,950,0.0016484873,-0.0007198936498753028,0.0098388671875,70807.0703125,0.0,0.8276844024658203,0.0003
100.0,1092,794624,97,727,-10035.77661876,-1.2316700637340545,380509.3211914062,0.2,960,0.00061650574,3.430433134781197e-05,0.00067138671875,72294.9140625,0.0,0.8306768536567688,0.0003
100.0,1092,802816,98,734,-10120.24915635,-1.233866284787655,376302.3072265625,0.2,970,0.0028660647,-0.00076606070069829,0.01268310546875,71552.75,0.0,0.8304786086082458,0.0003
100.0,1092,811008,99,742,-10258.05306616,-1.2267845448106527,385605.643359375,0.2,980,0.0029640184,-0.0015050337828142802,0.01617431640625,76070.5,1.1920928955078125e-07,0.819799542427063,0.0003
100.0,1092,819200,100,749,-10328.73967604,-1.2212482005357743,398811.98759765626,0.2,990,0.0015724654,-0.0001755135195708135,0.00357666015625,75799.859375,-1.1920928955078125e-07,0.8214101791381836,0.0003
100.0,1092,827392,101,756,-10326.2292318,-1.2219286765903234,403357.97197265626,0.2,1000,0.002489915,-0.0011840541897981892,0.0162109375,76490.171875,0.0,0.8201043605804443,0.0003
100.0,1093,835584,102,764,-10263.137106870003,-1.219260051473975,396407.7767578125,0.2,1010,0.0014973698,-0.00028964670636923986,0.00615234375,78883.65625,0.0,0.8179687261581421,0.0003
100.0,1093,843776,103,771,-10344.14203414,-1.2190933499485255,386530.157421875,0.2,1020,0.0015823841,-8.145567444444169e-05,0.002978515625,72701.296875,0.0,0.8195327520370483,0.0003
100.0,1093,851968,104,779,-10399.81913054,-1.2246388766914607,394307.2177734375,0.2,1030,0.00095812586,-0.00020010468106193002,0.0021484375,75950.0625,0.0,0.8268966674804688,0.0003
100.0,1093,860160,105,786,-10288.023240649998,-1.2234247840940953,397805.3994140625,0.2,1040,0.0030605174,-0.0010676578618586063,0.01654052734375,76290.53125,-2.384185791015625e-07,0.8186724185943604,0.0003
100.0,1093,868352,106,794,-10222.71838811,-1.2182506337761878,376465.10625,0.2,1050,0.0012691619,-0.0004086091194039909,0.00357666015625,71884.7578125,0.0,0.8167824149131775,0.0003
100.0,1093,876544,107,801,-10305.94761162,-1.2122174929827452,369062.2999023438,0.2,1060,0.0017148363,-0.0007169864038587548,0.00928955078125,68941.0390625,0.0,0.8098557591438293,0.0003
100.0,1093,884736,108,808,-10228.70166624,-1.2040438782423735,378795.1345703125,0.2,1070,0.0025238364,-0.0005682369039277547,0.0069580078125,70481.78125,0.0,0.8043206930160522,0.0003
100.0,1093,892928,109,816,-10141.30533689,-1.2009383954107762,360935.17255859374,0.2,1080,0.0031709601,-0.0013269562892674002,0.01719970703125,66656.8828125,0.0,0.8044012188911438,0.0003
100.0,1093,901120,110,823,-10044.35498494,-1.1971406951546668,351003.3517578125,0.2,1090,0.0039127395,-0.0013534742560295855,0.0189208984375,68872.1796875,0.0,0.7986807823181152,0.0003
100.0,1093,909312,111,831,-9992.473984270002,-1.2032383643090725,334869.9267578125,0.2,1100,0.0018647626,-0.0006758541290764697,0.007568359375,62310.86328125,0.0,0.8118088245391846,0.0003
100.0,1093,917504,112,838,-9985.189651499999,-1.2034392889589072,328964.42158203124,0.2,1110,0.0009755099,-0.00013504143062164075,0.00084228515625,58905.56640625,0.0,0.8007940649986267,0.0003
